989,792	989,749	989,706	989,664	989,621	989,578	989,535	989,492	989,449	989,406
989,363	989,32	989,276	989,233	989,19	989,146	989,103	989,059	989,015	988,971
988,928	988,884	988,84	988,796	988,752	988,707	988,663	988,619	988,574	988,53
988,485	988,441	988,396	988,352	988,307	988,262	988,217	988,172	988,127	988,082
988,037	987,992	987,946	987,901	987,844	987,81	987,764	987,719	987,673	987,627
987,581	987,536	987,49	987,444	987,398	987,351	987,305	987,259	987,213	987,166
987,12	987,073	987,027	986,98	986,933	986,886	986,84	986,793	986,746	986,699
986,652	986,604	986,557	986,51	986,463	986,415	986,368	986,32	986,272	986,225
986,177	986,129	986,081	986,033	985,985	985,937	985,889	985,841	985,793	985,745
985,696	985,648	985,599	985,551	985,502	985,454	985,405	985,356	985,307	985,258
985,219	985,16	985,111	985,062	985,013	984,963	984,914	984,865	984,815	984,766
984,716	984,666	984,617	984,567	984,517	984,467	984,417	984,367	984,317	984,267
984,217	984,167	984,116	984,066	984,016	983,965	983,914	983,864	983,813	983,762
983,712	983,661	983,61	983,559	983,508	983,457	983,406	983,354	983,303	983,252
983,2	983,149	983,097	983,046	982,994	982,943	982,891	982,839	982,787	982,735
982,683	982,631	982,579	982,527	982,475	982,422	982,37	982,318	982,265	982,213
982,16	982,108	982,055	982,002	981,949	981,897	981,844	981,791	981,738	981,685
981,631	981,578	981,525	981,472	981,418	981,365	981,311	981,258	981,204	981,151
981,097	981,043	980,989	980,935	980,881	980,827	980,773	980,719	980,665	980,611
980,557	980,502	980,443	980,393	980,339	980,284	980,23	980,175	980,12	980,065
980,011	979,956	979,901	979,846	979,791	979,736	979.680	979,625	979,57	979,515
979,459	979,403	979,348	979,293	979,237	979,181	979,126	979,07	979,014	978,958
978,902	978,846	978,79	978,734	978,678	978,621	978,565	978,509	978,452	978,396
978,339	978,283	978,226	978,17	978,113	978,056	977,999	977,942	977,885	977,828
977,771	977,714	977,657	977,6	977,543	977,485	977,428	977,37	977,313	977,255
977,198	977,14	977,082	977,025	976,967	976,909	976,851	976,793	976,735	976,677
976,619	976,561	976,503	976,444	976,386	976,327	976,269	976,211	976,152	976,093
976,035	975,976	975,917	975,858	975,8	975,741	975,682	975,623	975,564	975,504
975,445	975,386	975,327	975,267	975,208	975,148	975,089	975,029	974,97	974,91
974,85	974,791	974,731	974,671	974,611	974,551	974,491	974,431	974,371	974,311
974,25	974,19	974,13	974,069	974,009	973,948	973,888	973,827	973,767	973,706
973,645	973,584	973,524	973,463	973,402	973,341	973,28	973,218	973,157	973,096
973,025	972,974	972,912	972,851	972,789	972,728	972,666	972,605	972,543	972,481
972,419	972,358	972,296	972,234	972,172	972,11	972,048	971,986	971,923	971,861
971,799	971,737	971,674	971,612	971,549	971,487	971,424	971,361	971,299	971,236
971,173	971,11	971,048	970,985	970,922	970,859	970,796	970,732	970,669	970,606
970,543	970,479	970,416	970,353	970,289	970,226	970,162	970,098	970,035	969,971
969,907	969,843	969,772	969,715	969,652	969,587	969,523	969,459	969,395	969,331
969,267	969,202	969,138	969,073	969,009	968,944	968,88	968,815	968,751	968,686
968,621	968,556	968,491	968,427	968,362	968,297	968,232	968,166	968,101	968,036
967,971	967,906	967,84	967,775	967,709	967,644	967,578	967,513	967,447	967,381
967,316	967,25	967,184	967,118	967,052	966,986	966,92	966,854	966,788	966,722
966,656	966,589	966,523	966,457	966,39	966,324	966,257	966,191	966,124	966,057
965,991	965,924	965,857	965,79	965,73	965,656	965,589	965,522	965,455	965,388
965,321	965,254	965,187	965,119	965,052	964,984	964,917	964,849	964,782	964,714
964,647	964,579	964,511	964,443	964,376	964,308	964,24	964,172	964,104	964,036
963,967	963,899	963,831	963,763	963,694	963,626	963,558	963,489	963,421	963,352
963,284	963,215	963,146	963,077	963,009	962,94	962,871	962,802	962,733	962,664
962,595	962,526	962,457	962,387	962,318	962,249	962,18	962,11	962,041	961,971
961,902	961,832	961,762	961,693	961,623	961,553	961,483	961,414	961,344	961,274
961,204	961,134	961,064	960,993	960,923	960,853	960,783	960,712	960,642	960,572
960,501	960,431	960,36	960,289	960,219	960,148	960,077	960,006	959,936	959,865
959,794	959,723	959,652	959,581	959,51	959,438	959,367	959,296	959,225	959,153
959,082	959,01	958,939	958,867	958,796	958,724	958,653	958,581	958,509	958,431
958,365
